"","lambda","mu","prob","meanN","meanNb"
"3130",0.00901,2.41,-45.2655147046403,1.43428087483671,1.37265310650464
"3131",0.01001,2.41,-45.4256095265573,1.47686734573063,1.40992795033159
"3132",0.01101,2.41,-45.5780306208867,1.5184830483003,1.44643162453929
"3133",0.01201,2.41,-45.7233503017094,1.55912564988404,1.48214930933013
"3134",0.01301,2.41,-45.8620743453275,1.59879041980404,1.51706596305632
"3135",0.01401,2.41,-45.9946529295145,1.63747272265666,1.55116820871481
"3136",0.01501,2.41,-46.1214894942646,1.67516966969143,1.58444554179746
"3137",0.01601,2.41,-46.2429479011696,1.7118811053304,1.61689099843427
"3138",0.01701,2.41,-46.359358220601,1.74761009638541,1.6485014201391
"3139",0.01801,2.41,-46.4710214232543,1.78236306756269,1.67927743395609
"3140",0.01901,2.41,-46.5782132022961,1.81614969861225,1.70922324421267
"3141",0.02001,2.41,-46.6811871077692,1.84898267147539,1.73834630975781
"3142",0.02101,2.41,-46.780177137221,1.88087733246904,1.76665696098623
"3143",0.02201,2.41,-46.8753998956475,1.91185131564383,1.79416799494916
"3144",0.02301,2.41,-46.9670564130914,1.94192415878709,1.82089427439122
"3145",0.02401,2.41,-47.0553336886958,1.97111693254343,1.84685234720095
"3146",0.02501,2.41,-47.1404060147413,1.99945189511566,1.87206009596219
"3147",1e-05,2.43,-43.3940563309059,1.00055038517372,1.0004594355481
"3148",0.00101,2.43,-43.6687726221555,1.05453451468124,1.04573678076753
"3149",0.00201,2.43,-43.9244528763344,1.10663807409477,1.08980193666637
"3150",0.00301,2.43,-44.1632444572448,1.15711798473737,1.13279144786705
"3151",0.00401,2.43,-44.3869969082385,1.20617525354356,1.17481532484097
"3152",0.00501,2.43,-44.5972974585843,1.25396521247723,1.21595913530941
"3153",0.00601,2.43,-44.7955062258717,1.30060343668496,1.25628462494219
"3154",0.00701,2.43,-44.9827888978458,1.34617094723641,1.29583120487893
"3155",0.00801,2.43,-45.1601463914726,1.39072007957643,1.33461901504659
"3156",0.00901,2.43,-45.3284412193067,1.43428087483671,1.37265310650464
"3157",0.01001,2.43,-45.4884204009498,1.47686734573063,1.40992795033159
"3158",0.01101,2.43,-45.6407349430156,1.5184830483003,1.44643162453929
"3159",0.01201,2.43,-45.7859560994284,1.55912564988404,1.48214930933013
"3160",0.01301,2.43,-45.9245887538416,1.59879041980404,1.51706596305632
"3161",0.01401,2.43,-46.057082325657,1.63747272265666,1.55116820871481
"3162",0.01501,2.43,-46.1838396052628,1.67516966969143,1.58444554179746
"3163",0.01601,2.43,-46.3052238936254,1.7118811053304,1.61689099843427
"3164",0.01701,2.43,-46.4215647739769,1.74761009638541,1.6485014201391
"3165",0.01801,2.43,-46.5331627911031,1.78236306756269,1.67927743395609
"3166",0.01901,2.43,-46.6402932637038,1.81614969861225,1.70922324421267
"3167",0.02001,2.43,-46.7432094109086,1.84898267147539,1.73834630975781
"3168",0.02101,2.43,-46.8421449364905,1.88087733246904,1.76665696098623
"3169",0.02201,2.43,-46.9373161835454,1.91185131564383,1.79416799494916
"3170",0.02301,2.43,-47.0289239477393,1.94192415878709,1.82089427439122
"3171",0.02401,2.43,-47.1171550177343,1.97111693254343,1.84685234720095
"3172",0.02501,2.43,-47.2021834961817,1.99945189511566,1.87206009596219
"3173",1e-05,2.45,-43.4597375606027,1.00055038517372,1.0004594355481
"3174",0.00101,2.45,-43.7341458082646,1.05453451468124,1.04573678076753
"3175",0.00201,2.45,-43.9895599293573,1.10663807409477,1.08980193666637
"3176",0.00301,2.45,-44.2281188072184,1.15711798473737,1.13279144786705
"3177",0.00401,2.45,-44.451665697301,1.20617525354356,1.17481532484097
"3178",0.00501,2.45,-44.6617830634529,1.25396521247723,1.21595913530941
"3179",0.00601,2.45,-44.8598273443266,1.30060343668496,1.25628462494219
"3180",0.00701,2.45,-45.0469613417509,1.34617094723641,1.29583120487893
"3181",0.00801,2.45,-45.2241836763764,1.39072007957643,1.33461901504659
"3182",0.00901,2.45,-45.3923550096449,1.43428087483671,1.37265310650464
"3183",0.01001,2.45,-45.5522208508082,1.47686734573063,1.40992795033159
"3184",0.01101,2.45,-45.7044309602139,1.5184830483003,1.44643162453929
"3185",0.01201,2.45,-45.849555552592,1.55912564988404,1.48214930933013
"3186",0.01301,2.45,-45.9880986366047,1.59879041980404,1.51706596305632
"3187",0.01401,2.45,-46.1205088882895,1.63747272265666,1.55116820871481
"3188",0.01501,2.45,-46.2471884612876,1.67516966969143,1.58444554179746
"3189",0.01601,2.45,-46.3685001070421,1.7118811053304,1.61689099843427
"3190",0.01701,2.45,-46.4847729312954,1.74761009638541,1.6485014201391
"3191",0.01801,2.45,-46.5963070613632,1.78236306756269,1.67927743395609
"3192",0.01901,2.45,-46.7033774489008,1.81614969861225,1.70922324421267
"3193",0.02001,2.45,-46.8062369886859,1.84898267147539,1.73834630975781
"3194",0.02101,2.45,-46.9051190965428,1.88087733246904,1.76665696098623
"3195",0.02201,2.45,-47.0002398588633,1.91185131564383,1.79416799494916
"3196",0.02301,2.45,-47.0917998415872,1.94192415878709,1.82089427439122
"3197",0.02401,2.45,-47.1799856270729,1.97111693254343,1.84685234720095
"3198",0.02501,2.45,-47.2649711321068,1.99945189511566,1.87206009596219
"3199",1e-05,2.47,-43.5263557916658,1.00055038517372,1.0004594355481
"3200",0.00101,2.47,-43.8004620976518,1.05453451468124,1.04573678076753
"3201",0.00201,2.47,-44.0556153609126,1.10663807409477,1.08980193666637
"3202",0.00301,2.47,-44.2939461510151,1.15711798473737,1.13279144786705
"3203",0.00401,2.47,-44.5172915592383,1.20617525354356,1.17481532484097
"3204",0.00501,2.47,-44.7272293778606,1.25396521247723,1.21595913530941
"3205",0.00601,2.47,-44.9251124391085,1.30060343668496,1.25628462494219
"3206",0.00701,2.47,-45.1121007158145,1.34617094723641,1.29583120487893
"3207",0.00801,2.47,-45.2891905776329,1.39072007957643,1.33461901504659
"3208",0.00901,2.47,-45.4572408714452,1.43428087483671,1.37265310650464
"3209",0.01001,2.47,-45.6169956259919,1.47686734573063,1.40992795033159
"3210",0.01101,2.47,-45.7691033799872,1.5184830483003,1.44643162453929
"3211",0.01201,2.47,-45.9141333295155,1.55912564988404,1.48214930933013
"3212",0.01301,2.47,-46.0525886255563,1.59879041980404,1.51706596305632
"3213",0.01401,2.47,-46.1849172154931,1.63747272265666,1.55116820871481
"3214",0.01501,2.47,-46.3115206288251,1.67516966969143,1.58444554179746
"3215",0.01601,2.47,-46.4327610783539,1.7118811053304,1.61689099843427
"3216",0.01701,2.47,-46.548967201791,1.74761009638541,1.6485014201391
"3217",0.01801,2.47,-46.6604387172541,1.78236306756269,1.67927743395609
