"","lambda","mu","prob","meanN","meanNb"
"1793",0.071,0.71,-16.547674343059,2.76127085868732,2.45051990338865
"1794",0.081,0.71,-16.6188132317031,2.83917455036884,2.5163225905469
"1795",0.091,0.71,-16.6780325252685,2.90352456549076,2.57071014479869
"1796",0.101,0.71,-16.7280580434121,2.95751085609322,2.61636027920014
"1797",0.111,0.71,-16.7708539785358,3.0034135905196,2.65518998594485
"1798",0.121,0.71,-16.8078680620086,3.04289962905454,2.68860227784163
"1799",0.131,0.71,-16.8401890455564,3.07721259873152,2.71764488846988
"1800",0.141,0.71,-16.8686504970205,3.10729754392627,2.74311458809506
"1801",0.151,0.71,-16.8939008719568,3.13388453887279,2.76562727791222
"1802",0.161,0.71,-16.9164518703746,3.15754598967079,2.78566609276278
"1803",0.171,0.71,-16.9367124840193,3.17873669713965,2.80361506886652
"1804",0.181,0.71,-16.9550134102072,3.19782238711519,2.81978314129999
"1805",0.191,0.71,-16.9716248513596,3.21510037402357,2.83442153755169
"1806",0.201,0.71,-16.986769690452,3.23081476034779,2.84773657975565
"1807",0.211,0.71,-17.0006333797487,3.24516777675818,2.85989924146489
"1808",0.221,0.71,-17.0133714575779,3.25832835390659,2.87105237484745
"1809",0.231,0.71,-17.025115329169,3.27043867991394,2.88131624183372
"1810",0.241,0.71,-17.0359767605129,3.28161927272682,2.89079279414228
"1811",0.251,0.71,-17.0460514066383,3.29197294403682,2.89956901910252
"1812",0.261,0.71,-17.0554216073805,3.30158792648113,2.90771957999988
"1813",0.271,0.71,-17.0641586217259,3.31054036254844,2.91530891805219
"1814",0.281,0.71,-17.0723244277259,3.31889630176211,2.92239293951017
"1815",0.291,0.71,-17.0799731832437,3.32671331557544,2.92902038012058
"1816",0.301,0.71,-17.0871524196911,3.33404181250807,2.93523391653705
"1817",0.311,0.71,-17.0939040239191,3.34092611634802,2.94107107766602
"1818",0.321,0.71,-17.1002650507964,3.34740535566607,2.94656499665167
"1819",0.331,0.71,-17.1062683995342,3.35351420200148,2.95174503502649
"1820",0.341,0.71,-17.1119433796539,3.3592834858729,2.95663730363566
"1821",0.351,0.71,-17.1173161870217,3.36474071353272,2.96126509968468
"1822",0.361,0.71,-17.1224103061731,3.36991050260609,2.96564927522928
"1823",0.371,0.71,-17.1272468518928,3.3748149510689,2.96980854931581
"1824",0.381,0.71,-17.1318448604761,3.3794739511525,2.97375977356102
"1825",0.391,0.71,-17.1362215391039,3.38390545752016,2.97751815906664
"1826",0.401,0.71,-17.1403924801881,3.38812571729301,2.981097471072
"1827",0.411,0.71,-17.1443718462909,3.39214946810312,2.984510196566
"1828",0.421,0.71,-17.1481725302221,3.39599010923546,2.98776768913648
"1829",0.431,0.71,-17.1518062941139,3.39965985002562,2.99088029457996
"1830",0.441,0.71,-17.1552838906211,3.4031698389599,2.99385746018529
"1831",0.451,0.71,-17.1586151688694,3.40653027634042,2.9967078301122
"1832",0.461,0.71,-17.1618091673441,3.40975051290327,2.99943932888374
"1833",0.471,0.71,-17.1648741955568,3.41283913638957,3.00205923468435
"1834",0.481,0.71,-17.1678179060411,3.41580404775072,3.00457424388534
"1835",0.491,0.71,-17.1706473579849,3.41865252840623,3.00699052799775
"1836",0.501,0.71,-17.173369073613,3.42139129975549,3.00931378406882
"1837",0.001,0.73,-15.0023552089424,1.05617595746841,1.0430779727388
"1838",0.011,0.73,-15.4614732312009,1.53506957185664,1.42587058996679
"1839",0.021,0.73,-15.7965993693747,1.90594096258846,1.73239708662601
"1840",0.031,0.73,-16.0391041916775,2.18290775499153,1.96379350251501
"1841",0.041,0.73,-16.2188517475666,2.38862263654166,2.13648470400638
"1842",0.051,0.73,-16.3559695340285,2.5443759950661,2.26757735707534
"1843",0.061,0.73,-16.4634244381108,2.66524196047002,2.36947288237684
"1844",0.071,0.73,-16.5496358312164,2.76127085868732,2.45051990338865
"1845",0.081,0.73,-16.6202057011245,2.83917455036884,2.5163225905469
"1846",0.091,0.73,-16.678967723187,2.90352456549076,2.57071014479869
"1847",0.101,0.73,-16.7286179870498,2.95751085609322,2.61636027920014
"1848",0.111,0.73,-16.7711005783083,3.0034135905196,2.65518998594485
"1849",0.121,0.73,-16.8078491621366,3.04289962905454,2.68860227784163
"1850",0.131,0.73,-16.8399423649123,3.07721259873152,2.71764488846988
"1851",0.141,0.73,-16.8682062857938,3.10729754392627,2.74311458809506
"1852",0.151,0.73,-16.8932837538261,3.13388453887279,2.76562727791222
"1853",0.161,0.73,-16.91568215158,3.15754598967079,2.78566609276278
"1854",0.171,0.73,-16.9358071037952,3.17873669713965,2.80361506886652
"1855",0.181,0.73,-16.9539866440457,3.19782238711519,2.81978314129999
"1856",0.191,0.73,-16.9704888402364,3.21510037402357,2.83442153755169
"1857",0.201,0.73,-16.9855348451458,3.23081476034779,2.84773657975565
"1858",0.211,0.73,-16.9993086939606,3.24516777675818,2.85989924146489
"1859",0.221,0.73,-17.0119647534255,3.25832835390659,2.87105237484745
"1860",0.231,0.73,-17.023633451823,3.27043867991394,2.88131624183372
"1861",0.241,0.73,-17.034425734096,3.28161927272682,2.89079279414228
"1862",0.251,0.73,-17.0444365602691,3.29197294403682,2.89956901910252
"1863",0.261,0.73,-17.0537476779604,3.30158792648113,2.90771957999988
"1864",0.271,0.73,-17.062429838428,3.31054036254844,2.91530891805219
"1865",0.281,0.73,-17.0705445819559,3.31889630176211,2.92239293951017
"1866",0.291,0.73,-17.0781456869667,3.32671331557544,2.92902038012058
"1867",0.301,0.73,-17.0852803543685,3.33404181250807,2.93523391653705
"1868",0.311,0.73,-17.091990181812,3.34092611634802,2.94107107766602
"1869",0.321,0.73,-17.0983119700178,3.34740535566607,2.94656499665167
"1870",0.331,0.73,-17.1042783939534,3.35351420200148,2.95174503502649
"1871",0.341,0.73,-17.1099185645314,3.3592834858729,2.95663730363566
"1872",0.351,0.73,-17.1152585010863,3.36474071353272,2.96126509968468
"1873",0.361,0.73,-17.1203215307169,3.36991050260609,2.96564927522928
"1874",0.371,0.73,-17.1251286273545,3.3748149510689,2.96980854931581
"1875",0.381,0.73,-17.1296987008983,3.3794739511525,2.97375977356102
"1876",0.391,0.73,-17.1340488447836,3.38390545752016,2.97751815906664
"1877",0.401,0.73,-17.1381945487839,3.38812571729301,2.981097471072
