"","lambda","mu","prob","meanN","meanNb"
"757",0.81,1.37,-44.7614580828878,1.48634927003117,1.41337629914387
"758",0.91,1.37,-45.1726828896624,1.55248302016967,1.47050104447676
"759",1.01,1.37,-45.5947114813172,1.61990558393662,1.52891460972885
"760",0.01,1.39,-41.8519388022886,1.00545734990796,1.00455644900706
"761",0.11,1.39,-42.1718292151906,1.06078965110932,1.05087974119941
"762",0.21,1.39,-42.5033494285517,1.11750027446782,1.0985813555489
"763",0.31,1.39,-42.8464351708208,1.17558557599701,1.14765764806927
"764",0.41,1.39,-43.2010115380339,1.235039658623,1.19810272168897
"765",0.51,1.39,-43.5669931961965,1.29585440665845,1.24990846073688
"766",0.61,1.39,-43.9442846332272,1.35801953268528,1.30306457786813
"767",0.71,1.39,-44.3327804576644,1.4215226358386,1.35755867246744
"768",0.81,1.39,-44.7323657405787,1.48634927003117,1.41337629914387
"769",0.91,1.39,-45.1429163963295,1.55248302016967,1.47050104447676
"770",1.01,1.39,-45.564299597003,1.61990558393662,1.52891460972885
"771",0.01,1.41,-41.8323262308945,1.00545734990796,1.00455644900706
"772",0.11,1.41,-42.1513041959527,1.06078965110932,1.05087974119941
"773",0.21,1.41,-42.4819458791759,1.11750027446782,1.0985813555489
"774",0.31,1.41,-42.8241863421608,1.17558557599701,1.14765764806927
"775",0.41,1.41,-43.1779499985518,1.235039658623,1.19810272168897
"776",0.51,1.41,-43.5431508172206,1.29585440665845,1.24990846073688
"777",0.61,1.41,-43.9196925751362,1.35801953268528,1.30306457786813
"778",0.71,1.41,-44.3074691571208,1.4215226358386,1.35755867246744
"779",0.81,1.41,-44.7063648989207,1.48634927003117,1.41337629914387
"780",0.91,1.41,-45.1162549692219,1.55248302016967,1.47050104447676
"781",1.01,1.41,-45.537005785434,1.61990558393662,1.52891460972885
"782",0.01,1.43,-41.8155855589828,1.00545734990796,1.00455644900706
"783",0.11,1.43,-42.1336691670398,1.06078965110932,1.05087974119941
"784",0.21,1.43,-42.4634497748457,1.11750027446782,1.0985813555489
"785",0.31,1.43,-42.8048617863006,1.17558557599701,1.14765764806927
"786",0.41,1.43,-43.1578289423834,1.235039658623,1.19810272168897
"787",0.51,1.43,-43.5222645251044,1.29585440665845,1.24990846073688
"788",0.61,1.43,-43.8980716112769,1.35801953268528,1.30306457786813
"789",0.71,1.43,-44.2851433732918,1.4215226358386,1.35755867246744
"790",0.81,1.43,-44.6833634233166,1.48634927003117,1.41337629914387
"791",0.91,1.43,-45.092606196536,1.55248302016967,1.47050104447676
"792",1.01,1.43,-45.5127373682462,1.61990558393662,1.52891460972885
"793",0.01,1.45,-41.8016313220204,1.00545734990796,1.00455644900706
"794",0.11,1.45,-42.1188383047868,1.06078965110932,1.05087974119941
"795",0.21,1.45,-42.4477749439635,1.11750027446782,1.0985813555489
"796",0.31,1.45,-42.7883749948836,1.17558557599701,1.14765764806927
"797",0.41,1.45,-43.1405615355399,1.235039658623,1.19810272168897
"798",0.51,1.45,-43.5042471712872,1.29585440665845,1.24990846073688
"799",0.61,1.45,-43.8793342894902,1.35801953268528,1.30306457786813
"800",0.71,1.45,-44.2657153612893,1.4215226358386,1.35755867246744
