"","prop","mu","prob","meanN","meanNb"
"164",0.93,0.37,-55.8175165598116,3.44166284082681,3.131603125437
"165",0.94,0.37,-55.2613615257407,3.4424565518185,3.13232533093395
"166",0.95,0.37,-54.7110918405528,3.44323386453746,3.13303261548003
"167",0.96,0.37,-54.1665842474534,3.44399528187771,3.1337254366635
"168",0.97,0.37,-53.627719321605,3.44474128638196,3.13440423355476
"169",0.98,0.37,-53.0943813129112,3.44547234126062,3.13506942763354
"170",0.99,0.37,-52.5664579967822,3.44618889135012,3.13572142366092
"171",1,0.37,-52.0438405324001,3.44689136401487,3.13636061050002
"172",0.92,0.39,-55.7372945203621,3.44085220723295,3.13086552189665
"173",0.93,0.39,-55.1751268829429,3.44166284082681,3.131603125437
"174",0.94,0.39,-54.618971848872,3.4424565518185,3.13232533093395
"175",0.95,0.39,-54.068702163684,3.44323386453746,3.13303261548003
"176",0.96,0.39,-53.5241945705847,3.44399528187771,3.1337254366635
"177",0.97,0.39,-52.9853296447363,3.44474128638196,3.13440423355476
"178",0.98,0.39,-52.4519916360424,3.44547234126062,3.13506942763354
"179",0.99,0.39,-51.9240683199135,3.44618889135012,3.13572142366092
"180",1,0.39,-51.4014508555314,3.44689136401487,3.13636061050002
"181",0.92,0.41,-55.1413563333592,3.44085220723295,3.13086552189665
"182",0.93,0.41,-54.57918869594,3.44166284082681,3.131603125437
"183",0.94,0.41,-54.0230336618691,3.4424565518185,3.13232533093395
"184",0.95,0.41,-53.4727639766812,3.44323386453746,3.13303261548003
"185",0.96,0.41,-52.9282563835818,3.44399528187771,3.1337254366635
"186",0.97,0.41,-52.3893914577334,3.44474128638196,3.13440423355476
"187",0.98,0.41,-51.8560534490395,3.44547234126062,3.13506942763354
"188",0.99,0.41,-51.3281301329106,3.44618889135012,3.13572142366092
"189",1,0.41,-50.8055126685285,3.44689136401487,3.13636061050002
"190",0.92,0.43,-54.5861668062271,3.44085220723295,3.13086552189665
"191",0.93,0.43,-54.0239991688079,3.44166284082681,3.131603125437
"192",0.94,0.43,-53.467844134737,3.4424565518185,3.13232533093395
"193",0.95,0.43,-52.9175744495491,3.44323386453746,3.13303261548003
"194",0.96,0.43,-52.3730668564497,3.44399528187771,3.1337254366635
"195",0.97,0.43,-51.8342019306013,3.44474128638196,3.13440423355476
"196",0.98,0.43,-51.3008639219075,3.44547234126062,3.13506942763354
"197",0.99,0.43,-50.7729406057786,3.44618889135012,3.13572142366092
"198",1,0.43,-50.2503231413965,3.44689136401487,3.13636061050002
"199",0.92,0.45,-54.0678709428537,3.44085220723295,3.13086552189665
"200",0.93,0.45,-53.5057033054345,3.44166284082681,3.131603125437
"201",0.94,0.45,-52.9495482713636,3.4424565518185,3.13232533093395
"202",0.95,0.45,-52.3992785861757,3.44323386453746,3.13303261548003
"203",0.96,0.45,-51.8547709930763,3.44399528187771,3.1337254366635
"204",0.97,0.45,-51.3159060672279,3.44474128638196,3.13440423355476
"205",0.98,0.45,-50.7825680585341,3.44547234126062,3.13506942763354
"206",0.99,0.45,-50.2546447424051,3.44618889135012,3.13572142366092
"207",1,0.45,-49.7320272780231,3.44689136401487,3.13636061050002
"208",0.92,0.47,-53.5831217962611,3.44085220723295,3.13086552189665
"209",0.93,0.47,-53.0209541588419,3.44166284082681,3.131603125437
"210",0.94,0.47,-52.464799124771,3.4424565518185,3.13232533093395
"211",0.95,0.47,-51.9145294395831,3.44323386453746,3.13303261548003
"212",0.96,0.47,-51.3700218464838,3.44399528187771,3.1337254366635
"213",0.97,0.47,-50.8311569206353,3.44474128638196,3.13440423355476
"214",0.98,0.47,-50.2978189119415,3.44547234126062,3.13506942763354
"215",0.99,0.47,-49.7698955958126,3.44618889135012,3.13572142366092
"216",1,0.47,-49.2472781314305,3.44689136401487,3.13636061050002
"217",0.92,0.49,-53.1289955785618,3.44085220723295,3.13086552189665
"218",0.93,0.49,-52.5668279411426,3.44166284082681,3.131603125437
"219",0.94,0.49,-52.0106729070717,3.4424565518185,3.13232533093395
"220",0.95,0.49,-51.4604032218838,3.44323386453746,3.13303261548003
"221",0.96,0.49,-50.9158956287844,3.44399528187771,3.1337254366635
"222",0.97,0.49,-50.377030702936,3.44474128638196,3.13440423355476
"223",0.98,0.49,-49.8436926942422,3.44547234126062,3.13506942763354
"224",0.99,0.49,-49.3157693781132,3.44618889135012,3.13572142366092
"225",1,0.49,-48.7931519137312,3.44689136401487,3.13636061050002
"226",0.92,0.51,-52.7029237689186,3.44085220723295,3.13086552189665
"227",0.93,0.51,-52.1407561314994,3.44166284082681,3.131603125437
"228",0.94,0.51,-51.5846010974285,3.4424565518185,3.13232533093395
"229",0.95,0.51,-51.0343314122406,3.44323386453746,3.13303261548003
"230",0.96,0.51,-50.4898238191412,3.44399528187771,3.1337254366635
"231",0.97,0.51,-49.9509588932928,3.44474128638196,3.13440423355476
"232",0.98,0.51,-49.417620884599,3.44547234126062,3.13506942763354
"233",0.99,0.51,-48.8896975684701,3.44618889135012,3.13572142366092
"234",1,0.51,-48.367080104088,3.44689136401487,3.13636061050002
"235",0.92,0.53,-52.3026382928526,3.44085220723295,3.13086552189665
"236",0.93,0.53,-51.7404706554334,3.44166284082681,3.131603125437
"237",0.94,0.53,-51.1843156213625,3.4424565518185,3.13232533093395
"238",0.95,0.53,-50.6340459361746,3.44323386453746,3.13303261548003
"239",0.96,0.53,-50.0895383430752,3.44399528187771,3.1337254366635
"240",0.97,0.53,-49.5506734172268,3.44474128638196,3.13440423355476
"241",0.98,0.53,-49.017335408533,3.44547234126062,3.13506942763354
"242",0.99,0.53,-48.4894120924041,3.44618889135012,3.13572142366092
"243",1,0.53,-47.966794628022,3.44689136401487,3.13636061050002
"244",0.92,0.55,-51.926126865352,3.44085220723295,3.13086552189665
"245",0.93,0.55,-51.3639592279328,3.44166284082681,3.131603125437
"246",0.94,0.55,-50.8078041938619,3.4424565518185,3.13232533093395
"247",0.95,0.55,-50.257534508674,3.44323386453746,3.13303261548003
"248",0.96,0.55,-49.7130269155746,3.44399528187771,3.1337254366635
"249",0.97,0.55,-49.1741619897262,3.44474128638196,3.13440423355476
"250",0.98,0.55,-48.6408239810323,3.44547234126062,3.13506942763354
"251",0.99,0.55,-48.1129006649034,3.44618889135012,3.13572142366092
"252",1,0.55,-47.5902832005213,3.44689136401487,3.13636061050002
"253",0.92,0.57,-51.571596317842,3.44085220723295,3.13086552189665
"254",0.93,0.57,-51.0094286804228,3.44166284082681,3.131603125437
"255",0.94,0.57,-50.4532736463519,3.4424565518185,3.13232533093395
"256",0.95,0.57,-49.903003961164,3.44323386453746,3.13303261548003
"257",0.96,0.57,-49.3584963680647,3.44399528187771,3.1337254366635
"258",0.97,0.57,-48.8196314422162,3.44474128638196,3.13440423355476
"259",0.98,0.57,-48.2862934335224,3.44547234126062,3.13506942763354
"260",0.99,0.57,-47.7583701173935,3.44618889135012,3.13572142366092
"261",1,0.57,-47.2357526530114,3.44689136401487,3.13636061050002
"262",0.92,0.59,-51.2374827415291,3.44085220723295,3.13086552189665
"263",0.93,0.59,-50.6753151041099,3.44166284082681,3.131603125437
"264",0.94,0.59,-50.119160070039,3.4424565518185,3.13232533093395
"265",0.95,0.59,-49.5688903848511,3.44323386453746,3.13303261548003
"266",0.96,0.59,-49.0243827917517,3.44399528187771,3.1337254366635
"267",0.97,0.59,-48.4855178659033,3.44474128638196,3.13440423355476
"268",0.98,0.59,-47.9521798572095,3.44547234126062,3.13506942763354
"269",0.99,0.59,-47.4242565410805,3.44618889135012,3.13572142366092
"270",1,0.59,-46.9016390766985,3.44689136401487,3.13636061050002
"271",0.92,0.61,-50.9222238573102,3.44085220723295,3.13086552189665
"272",0.93,0.61,-50.360056219891,3.44166284082681,3.131603125437
"273",0.94,0.61,-49.8039011858201,3.4424565518185,3.13232533093395
"274",0.95,0.61,-49.2536315006322,3.44323386453746,3.13303261548003
"275",0.96,0.61,-48.7091239075329,3.44399528187771,3.1337254366635
"276",0.97,0.61,-48.1702589816844,3.44474128638196,3.13440423355476
"277",0.98,0.61,-47.6369209729906,3.44547234126062,3.13506942763354
"278",0.99,0.61,-47.1089976568617,3.44618889135012,3.13572142366092
"279",1,0.61,-46.5863801924796,3.44689136401487,3.13636061050002
"280",0.92,0.63,-50.6246423935312,3.44085220723295,3.13086552189665
"281",0.93,0.63,-50.062474756112,3.44166284082681,3.131603125437
"282",0.94,0.63,-49.5063197220411,3.4424565518185,3.13232533093395
"283",0.95,0.63,-48.9560500368532,3.44323386453746,3.13303261548003
"284",0.96,0.63,-48.4115424437538,3.44399528187771,3.1337254366635
"285",0.97,0.63,-47.8726775179054,3.44474128638196,3.13440423355476
"286",0.98,0.63,-47.3393395092116,3.44547234126062,3.13506942763354
"287",0.99,0.63,-46.8114161930826,3.44618889135012,3.13572142366092
"288",1,0.63,-46.2887987287006,3.44689136401487,3.13636061050002
"289",0.92,0.65,-50.3435237416142,3.44085220723295,3.13086552189665
"290",0.93,0.65,-49.7813561041949,3.44166284082681,3.131603125437
"291",0.94,0.65,-49.2252010701241,3.4424565518185,3.13232533093395
"292",0.95,0.65,-48.6749313849361,3.44323386453746,3.13303261548003
"293",0.96,0.65,-48.1304237918368,3.44399528187771,3.1337254366635
"294",0.97,0.65,-47.5915588659883,3.44474128638196,3.13440423355476
"295",0.98,0.65,-47.0582208572945,3.44547234126062,3.13506942763354
"296",0.99,0.65,-46.5302975411656,3.44618889135012,3.13572142366092
"297",1,0.65,-46.0076800767835,3.44689136401487,3.13636061050002
