"","lambda","mu","prob","meanN","meanNb"
"846",1.31,0.65,-16.1364083698857,1.84825976717523,1.67123302913749
"847",1.41,0.65,-16.2742907742002,1.92122320384276,1.73068322838428
"848",1.51,0.65,-16.4173332262926,1.99526167944473,1.79120867539204
"849",1.61,0.65,-16.565438979294,2.07035174463735,1.85278604314944
"850",1.71,0.65,-16.7185087225596,2.146468639184,1.91539074697708
"851",1.81,0.65,-16.8764408177672,2.22358627859606,1.97899694688396
"852",1.91,0.65,-17.0391315237571,2.30167722346778,2.04357753499214
"853",2.01,0.65,-17.2064752077072,2.3807126317644,2.10910410813457
"854",2.11,0.65,-17.3783645407099,2.46066219518187,2.17554692648043
"855",2.21,0.65,-17.554690676351,2.54149406154718,2.24287485978694
"856",2.31,0.65,-17.7353434114595,2.6231747460309,2.31105532358075
"857",2.41,0.65,-17.9202113287805,2.70566903465986,2.38005420820353
"858",2.51,0.65,-18.1091819218987,2.78893988421506,2.44983580418542
"859",0.01,0.67,-14.8744504786689,1.00568190892819,1.00433055757684
"860",0.11,0.67,-14.9356637413529,1.06318654318079,1.04832167831593
"861",0.21,0.67,-15.0030375215776,1.12193654690698,1.09355816852861
"862",0.31,0.67,-15.076527743263,1.18192894492939,1.14003705303779
"863",0.41,0.67,-15.1560850477541,1.24315892058566,1.18775351518481
"864",0.51,0.67,-15.2416549039392,1.30561984115129,1.23670092227044
"865",0.61,0.67,-15.333177742526,1.3693032923702,1.28687086015254
"866",0.71,0.67,-15.4305891131737,1.43419912125148,1.33825317622774
"867",0.81,0.67,-15.5338198628682,1.50029548587561,1.3908360296551
"868",0.91,0.67,-15.6427963335942,1.56757891050187,1.44460594727907
"869",1.01,0.67,-15.7574405770161,1.63603434382549,1.49954788331629
"870",1.11,0.67,-15.8776705835512,1.70564521784512,1.55564528052536
"871",1.21,0.67,-16.0034005229122,1.7763935045119,1.61288013031944
"872",1.31,0.67,-16.1345409929457,1.84825976717523,1.67123302913749
"873",1.41,0.67,-16.2709992734063,1.92122320384276,1.73068322838428
"874",1.51,0.67,-16.4126795812095,1.99526167944473,1.79120867539204
"875",1.61,0.67,-16.559483323704,2.07035174463735,1.85278604314944
"876",1.71,0.67,-16.7113093466078,2.146468639184,1.91539074697708
"877",1.81,0.67,-16.8680541734618,2.22358627859606,1.97899694688396
"878",1.91,0.67,-17.0296122337649,2.30167722346778,2.04357753499214
"879",2.01,0.67,-17.1958760773555,2.3807126317644,2.10910410813457
"880",2.11,0.67,-17.3667365730808,2.46066219518187,2.17554692648043
"881",2.21,0.67,-17.5420830903309,2.54149406154718,2.24287485978694
"882",2.31,0.67,-17.7218036625873,2.6231747460309,2.31105532358075
"883",2.41,0.67,-17.9057851327213,2.70566903465986,2.38005420820353
"884",2.51,0.67,-18.0939132803564,2.78893988421506,2.44983580418542
"885",0.01,0.69,-14.8997571439411,1.00568190892819,1.00433055757684
"886",0.11,0.69,-14.9586251915754,1.06318654318079,1.04832167831593
